"ID","Work Item Type","Title","Test Step","Step Action","Step Expected","Area Path","Assigned To","State"
"1","Test Case","Cadastrar Alimento - Verificar Nome","1","Preencher o campo 'Nome do Alimento' com um nome válido.","O nome do alimento deve ser aceito sem erros. ","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"2","Test Case","Cadastrar Alimento - Verificar Descrição","2","Preencher o campo 'Descrição' com uma descrição válida.","A descrição deve ser aceita sem erros.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"3","Test Case","Cadastrar Alimento - Verificar Preço","3","Preencher o campo 'Preço' com um valor numérico positivo.","O preço deve ser aceito sem erros.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"4","Test Case","Cadastrar Alimento - Verificar Ingredientes","4","Preencher o campo 'Ingredientes' com conteúdo válido.","Os ingredientes devem ser aceitos sem erros.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"5","Test Case","Cadastrar Alimento - Verificar Upload de Imagem","5","Selecionar uma imagem válida para o campo 'Imagem do Alimento'.","A imagem deve ser carregada sem erros e deve aparecer na visualização (se aplicável).","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"6","Test Case","Cadastrar Alimento - Verificar Categoria","6","Selecionar uma categoria no menu suspenso.","A categoria deve ser selecionada corretamente sem erros.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"7","Test Case","Cadastrar Alimento - Verificar Alergênicos","7","Preencher o campo 'Alergênicos' com conteúdo opcional.","O campo de alergênicos deve ser aceito sem erros, mesmo que esteja vazio.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"8","Test Case","Cadastrar Alimento - Verificar Botão de Cadastro","8","Clicar no botão 'Cadastrar Alimento'.","Uma mensagem de sucesso deve ser exibida e o formulário deve ser limpo.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"9","Test Case","Cadastrar Alimento - Verificar Campos Obrigatórios","9","Tentar enviar o formulário com campos obrigatórios vazios.","Deve ser exibida uma mensagem de erro indicando que todos os campos obrigatórios precisam ser preenchidos.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"
"10","Test Case","Cadastrar Alimento - Verificar Limitações de Tamanho","10","Inserir texto muito longo em 'Nome do Alimento' ou 'Descrição'.","Deve haver uma mensagem de erro ou a entrada deve ser truncada se exceder o limite definido.","Cardápio Virtual - Cadastro de Alimentos","Nome do Testador","New"